tf,diff
STAT1,0.1908775849890681
IRF7,0.15799508736190307
IRF9,0.14810836960062862
ELF1,0.13868305085920196
TGIF1,0.12963150966995687
HMGA1,0.12762068821028363
STAT3,0.12169115029471211
HBP1,0.10701298035534544
ATF4,0.10692739811332669
NR3C1,0.10303164532572447
BACH1,0.10247775242074972
IRF1,0.10244820543733874
IRF2,0.09971766662150551
GTF2B,0.09610328551491676
REL,0.09436561039712968
MAX,0.09149811960697574
NR1H2,0.09114860259970753
JUNB,0.08836480242203995
YBX1,0.08812910649222017
ZNF267,0.0851742041936897
RELB,0.08245002907662788
MAFG,0.08075098443293346
DDIT3,0.07887195485371479
NFE2L2,0.07781537538266273
ATF5,0.07753091765118358
YY1,0.0745636027492459
CEBPB,0.07311448509335938
AHR,0.07154401402115938
BBX,0.0691064903286639
CREM,0.06846995963006852
KLF6,0.06266972871052684
JUN,0.060763653664936246
RBPJ,0.05957589205377442
FOS,0.05604737100382613
HIF1A,0.051160781005491526
CEBPD,0.04035304476827348
XBP1,0.035747474906218185
ZNF655,0.035028151204418864
ETV6,0.02641291431565565
ATF3,0.026245812964116565
NFKB1,-0.0034844319612117314
