tf,diff
STAT1,0.11739998675345378
IRF9,0.1133122719340834
IRF7,0.09476970206367177
HBP1,0.09234379830409202
TGIF1,0.07641909318324659
STAT3,0.07407982322908649
JUNB,0.07167018322104594
YBX1,0.06997614933608254
NFE2L2,0.06176989457056281
MAX,0.06151976613930066
ELF1,0.0608940746260373
BACH1,0.060457187806332705
REL,0.05940820957743502
GTF2B,0.055566239284585484
ATF4,0.054838851297056845
IRF2,0.053832224471804954
AHR,0.05171994096004302
ZNF267,0.05096776616218919
IRF1,0.04980367510687603
HMGA1,0.04932495817312353
ATF5,0.04788835628423364
CREM,0.0459044200258715
FOS,0.04356625824387228
CEBPD,0.03636651226055346
RELB,0.030725279071408644
KLF6,0.030208659891546613
JUN,0.028798604891950193
BBX,0.027792941234913937
ATF3,0.02304444451900329
XBP1,0.022776554025932788
NR3C1,0.021637638608105927
ETV6,0.0202640578586282
YY1,0.01855495151885067
HIF1A,0.016914919142758292
CEBPB,0.01288569911600132
NR1H2,0.011260916637326562
ZNF655,0.011237935348530778
DDIT3,0.010269744520264551
RBPJ,0.006483630307946686
NFKB1,-0.00030269573232610814
MAFG,-0.006795399347173857
