tf,diff
STAT1,0.06154688918905389
CREM,0.029278028310771725
TGIF1,0.028712612482963945
ELF1,0.027491119537087216
STAT3,0.022903603873753023
ATF5,0.022657722287249216
KLF6,0.021829754866979453
ATF3,0.021188060309962578
IRF9,0.01777244153522152
BACH1,0.016308991661074437
ATF4,0.015621336666815255
NR1H2,0.014092861045354912
RELB,0.011304785089193314
FOS,0.009404921048905161
ZNF267,0.008354959589486441
NFE2L2,0.0073689805678989195
JUN,0.006409776848250212
NR3C1,0.0056605171532333465
IRF1,0.0041981031781320385
AHR,0.00034657334757375036
MAX,-0.0002167842623035099
IRF7,-0.0006417797763322991
JUNB,-0.0010418389892588517
MAFG,-0.003300423126700665
CEBPD,-0.004499782076511555
YBX1,-0.007974021116020497
RBPJ,-0.00813206105815184
IRF2,-0.011046906072996632
REL,-0.01307894102448827
HMGA1,-0.013387554060783818
YY1,-0.015308995034533535
DDIT3,-0.015506479737425943
XBP1,-0.017782090247791746
GTF2B,-0.02158785576551428
ZNF655,-0.023309248508183347
BBX,-0.02378689419505703
HBP1,-0.03000817559087604
HIF1A,-0.033103513527039066
CEBPB,-0.0365299120375258
NFKB1,-0.058059115311025575
