tf,diff
STAT1,0.10617079716389499
IRF9,0.10582544480259025
STAT3,0.08658861780686075
ZNF655,0.0725646511461862
NR3C1,0.06208023797411136
AHR,0.061650964449317155
ELF1,0.05936722430656213
IRF2,0.05525294532859351
GTF2B,0.054938914783442816
ATF4,0.05054134168288366
IRF7,0.05026013333442923
TGIF1,0.0487494345184008
NR1H2,0.048058262166683324
NFE2L2,0.04401593185039693
BACH1,0.038519381609381224
REL,0.03530026016339827
KLF6,0.0282213849923392
CREM,0.027936883263630946
MAFG,0.027640383955442084
RBPJ,0.02733726685871196
YBX1,0.027271706683509506
ETV6,0.022725471512687542
CEBPD,0.022589460697326993
RELB,0.02191308340934015
BBX,0.019006237697201084
HMGA1,0.018041630081734192
ATF5,0.017312183378339008
ATF3,0.008149921218051762
IRF1,0.006076680017040828
XBP1,0.005457543892226191
JUNB,0.004872833134235054
FOS,0.003947783646429476
MAX,0.003935307748911446
YY1,0.0027837118361868363
ZNF267,0.0012618084497431348
HBP1,0.0005487888613162073
CEBPB,-0.000883218319077006
DDIT3,-0.002695839366946451
JUN,-0.006894897362852474
NFKB1,-0.010327837068950407
HIF1A,-0.018009933390027794
