gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr
ISG15,4.994868499951146,9.457542294882564e-08,-2.1080695490443846,7.516243971292382e-16,3.6753188378871876e-07,1.7201461202871993e-13
AURKAIP1,-0.5350355895236284,4.287601678627552e-10,-0.20345241397714328,0.6584,2.3523074962881297e-09,0.8233854800936768
MRPL20,-0.7353261312298085,6.166465004107951e-09,0.690384513503995,0.1492,2.88850202824004e-08,0.3822315789473684
SSU72,-0.9017561985221823,2.269061924561855e-12,-1.0793927462641126,0.7548,1.6522896377945872e-11,0.8680470926058866
GNB1,0.20849861522224317,0.1044,-0.681003114471313,0.6536,0.12270638297872341,0.8186608287724785
RER1,-0.15061534129605053,0.003834929798539819,-0.15375448913076595,0.7672,0.005314496139498953,0.8729079545454544
TNFRSF14,0.23594788966126717,0.0104,0.6157038014798618,0.8928,0.013578484107579461,0.9516071856287426
RPL22,-0.6205728149391336,1.3861921493981851e-11,-0.2035121015604543,0.9644,9.369957060488998e-11,0.9846837476099427
CAMTA1,0.16820682477608248,0.0056,0.24686023445620084,0.0668,0.0075388235294117645,0.23675575221238934
VAMP3,-0.04174012128550912,0.0228,0.06742056122407637,0.2784,0.0288284135753749,0.5373455421686746
PARK7,-1.3552649404095596,2.186736720773798e-26,-0.08513526135426956,0.5832,6.1458810994379375e-25,0.7811759197324415
ENO1,-1.0856695480862582,3.020521486580738e-35,0.7397090192694192,0.0856,1.512148569219482e-33,0.2792896130346232
PGD,-0.7286081234156138,4.116106966346684e-11,-0.22032029459491065,0.314,2.680489170767231e-10,0.5762061855670103
AGTRAP,-0.15648860337356044,0.0152,-0.16930260446307505,0.6004,0.01957427652733119,0.7938975369458129
TNFRSF1B,-0.5338721277812111,3.347903843942065e-08,0.7859092860796492,0.3,1.418873533861161e-07,0.5640845070422535
EFHD2,-0.3049183579326624,2.510646317107477e-06,-0.3706798474802703,0.6164,7.5178605607592114e-06,0.7981894736842106
SZRD1,0.3499580614879188,0.0016307974900669096,1.1933937711183398,0.9908,0.0024190162769325827,0.9973806775407779
NECAP2,0.5716506951276242,0.00012024814622793787,-0.5034757665824571,0.2476,0.00022494506990227694,0.5114868894601542
SDHB,-0.33030781092444284,0.096,1.2205805016630034,0.2204,0.11375147928994084,0.4843358024691358
CAPZB,-0.425684113169983,2.5137367998775817e-09,-0.3438938581185383,0.4804,1.2429031954950265e-08,0.7040599634369287
MINOS1,-0.6430853679861157,1.6360650191826353e-06,-0.3336177827325158,0.8568,5.159401891201933e-06,0.9299414634146341
CDC42,-0.01600411322964858,0.5796,-0.5152953697464598,0.22,0.6124796833773087,0.48412087912087914
HNRNPR,-0.40422398820063604,2.9072879423848744e-05,0.7824792943109261,0.7152,6.424103839586992e-05,0.8543999999999999
ID3,-1.2398925231697326,1.0089231015448367e-10,0.04772067252001275,0.9248,6.122328820737987e-10,0.9645374999999999
RPL11,-0.30808732929077587,9.401366815144032e-27,0.4425390881646153,0.0013711754675384425,2.6894624353322746e-25,0.025300651201555977
