gene,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_fdr,dv_fdr,distance,ct,distance_bin
ISG15,5.098153772159386,0.07323065294057353,1.7780178994384276e-08,-3.274189763464312,0.24061374482684805,2.771328361542331e-44,8.923427332806609e-08,2.225376674318492e-41,0.0,cM,in TSS
ICAM2,0.822845195740004,0.09705934674654665,6.706204836493508e-05,-0.09060597560626771,0.38832589523649846,0.8161183881611839,0.00013906823017178948,0.9371391219087047,0.0,cM,in TSS
VMP1,-0.05050723133220202,0.0773523750186621,0.5194480551944806,0.6830477456689354,0.42878177382350313,0.10928907109289071,0.5580157703293216,0.4401041192638841,0.0,cM,in TSS
CCRL2,1.2233977812739585,0.05931430223106701,1.1070425764192827e-05,-0.3355587860741898,0.3120633806005726,0.33366663333666635,2.9067022010792546e-05,0.7002547141119221,0.0,cM,in TSS
TRIM25,0.706461569932402,0.09644854059822311,0.00011949126118852167,-0.0885914335160078,0.3732805074828801,0.832016798320168,0.00022656784588992421,0.9376975284927648,0.0,cM,in TSS
SHISA5,0.7009716826021566,0.10078850402112811,0.00019211823912984407,0.068202631175276,0.35540394095291034,0.8451154884511549,0.0003447395441815973,0.9412312582888729,0.0,cM,in TSS
IFI35,2.6255005896325527,0.057696546090687084,2.575709039107675e-07,-1.0185735766703372,0.24243337491243003,0.0020997900209979003,1.0661311125791046e-06,0.03476559560538792,0.0,cM,in TSS
RPL27,-0.15611512899328328,0.02661610525073827,3.746867842858343e-07,-0.2146433041258811,0.28611172228395726,0.43525647435256476,1.4857950013902465e-06,0.7647941989170886,0.0,cM,in TSS
CGGBP1,0.44722256527839493,0.06610591251916371,0.0011007870562387426,-0.2980530026461077,0.5542475226337629,0.6017398260173983,0.0016788832025825457,0.8352027610008628,0.0,cM,in TSS
PCNP,0.16417075096847747,0.07068034572473786,0.022397760223977603,0.9015542485359136,0.45535239177681275,0.04939506049395061,0.028345786382748643,0.3141859727070771,0.0,cM,in TSS
PSMD11,-0.05136713355670941,0.06726849205337193,0.44525547445255476,0.2231807022743842,0.3428277907556017,0.5022497750224978,0.48447174252764424,0.7903740875912408,0.0,cM,in TSS
ADAP2,0.36207659422769534,0.09682074092942689,0.0036040892283051816,0.5422027166031991,0.40829848019843706,0.18298170182981702,0.004934498977543156,0.5684112439819847,0.0,cM,in TSS
RPL23A,-0.23047172653807177,0.02212869989540526,1.9544538300876024e-10,0.5997541502682983,0.1400766951499757,0.0006491449175328868,1.2707906279840848e-09,0.01460507440402499,0.0,cM,in TSS
PARP14,1.8910654168700238,0.0664146754267389,1.2214665123222494e-06,-0.038816278795087956,0.46176243062988764,0.9311068893110689,4.330408871500072e-06,0.9786372148125502,0.0,cM,in TSS
EIF1B,0.10252661184850266,0.06481622193829446,0.11038896110388961,0.30251073784699406,0.433439854546412,0.48355164483551644,0.12978380053649102,0.782058350056233,0.0,cM,in TSS
PLSCR1,1.99411005579526,0.033359548388988525,3.857777922191387e-10,-0.46815436749465517,0.17410183325545525,0.0235976402359764,2.3921202096677093e-09,0.20266208673250322,0.0,cM,in TSS
