Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name
ENSG00000210049,ENSG00000210049.1,ENST00000387314,ENST00000387314.1,MT-TF
ENSG00000211459,ENSG00000211459.2,ENST00000389680,ENST00000389680.2,MT-RNR1
ENSG00000210077,ENSG00000210077.1,ENST00000387342,ENST00000387342.1,MT-TV
ENSG00000210082,ENSG00000210082.2,ENST00000387347,ENST00000387347.2,MT-RNR2
ENSG00000209082,ENSG00000209082.1,ENST00000386347,ENST00000386347.1,MT-TL1
ENSG00000198888,ENSG00000198888.2,ENST00000361390,ENST00000361390.2,MT-ND1
ENSG00000210156,ENSG00000210156.1,ENST00000387421,ENST00000387421.1,MT-TK
ENSG00000228253,ENSG00000228253.1,ENST00000361851,ENST00000361851.1,MT-ATP8
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899.2,MT-ATP6
ENSG00000198938,ENSG00000198938.2,ENST00000362079,ENST00000362079.2,MT-CO3
ENSG00000210164,ENSG00000210164.1,ENST00000387429,ENST00000387429.1,MT-TG
ENSG00000198840,ENSG00000198840.2,ENST00000361227,ENST00000361227.2,MT-ND3
ENSG00000210174,ENSG00000210174.1,ENST00000387439,ENST00000387439.1,MT-TR
ENSG00000212907,ENSG00000212907.2,ENST00000361335,ENST00000361335.1,MT-ND4L
ENSG00000198886,ENSG00000198886.2,ENST00000361381,ENST00000361381.2,MT-ND4
ENSG00000210176,ENSG00000210176.1,ENST00000387441,ENST00000387441.1,MT-TH
ENSG00000210184,ENSG00000210184.1,ENST00000387449,ENST00000387449.1,MT-TS2
ENSG00000210191,ENSG00000210191.1,ENST00000387456,ENST00000387456.1,MT-TL2
ENSG00000198786,ENSG00000198786.2,ENST00000361567,ENST00000361567.2,MT-ND5
ENSG00000198695,ENSG00000198695.2,ENST00000361681,ENST00000361681.2,MT-ND6
ENSG00000210194,ENSG00000210194.1,ENST00000387459,ENST00000387459.1,MT-TE
