Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process (GO:0000956)	6/174	0.0002160549767549357	1.0	0	0	7.037297677691766	59.39463519107496	CNOT7;RPS20;RPL23A;DCP1A;RPL39;RPS24
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	5/112	0.00022594466389379468	0.5764978099250171	0	0	9.110787172011662	76.48706667911904	RPS20;RPL23A;DCP1A;RPL39;RPS24
GO_Biological_Process_2018	positive regulation of adaptive immune response (GO:0002821)	2/6	0.00035194284531443883	0.5986547798798605	0	0	68.02721088435375	540.9552222323548	SASH3;FADD
GO_Biological_Process_2018	positive regulation of NF-kappaB transcription factor activity (GO:0051092)	5/128	0.00041896904729767987	0.5344997620900152	0	0	7.971938775510204	62.00345594362855	NFKBIA;AIM2;RIPK2;CARD16;IRAK4
GO_Biological_Process_2018	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	6/204	0.0005053753538978485	0.5157860861881443	0	0	6.002400960384153	45.55947856984254	NFKBIA;RIPK2;GSTP1;CARD16;IRAK4;FADD
GO_Biological_Process_2018	regulation of interleukin-1 beta secretion (GO:0050706)	3/34	0.00061138323017245	0.5199814372616687	0	0	18.00720288115246	133.2494581774334	AIM2;RIPK2;CARD16
GO_Biological_Process_2018	negative regulation of NF-kappaB transcription factor activity (GO:0032088)	4/82	0.0007075376317885753	0.5157949335738714	0	0	9.955201592832255	72.2122423101467	NFKBIA;USP7;AIM2;ADORA3
GO_Biological_Process_2018	ncRNA processing (GO:0034470)	6/227	0.0008834820873221004	0.5635511364505847	0	0	5.394228175851839	37.9302681349704	SMAD2;POP7;RPS20;RPL23A;RPL39;RPS24
GO_Biological_Process_2018	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	4/89	0.0009622409897618897	0.5455906411949913	0	0	9.172208209126348	63.71241118608339	RPL23A;RPS20;RPL39;RPS24
GO_Biological_Process_2018	negative regulation of cytokine-mediated signaling pathway (GO:0001960)	3/40	0.0009881943586653452	0.5042755812269257	0	0	15.306122448979592	105.91272184080921	CNOT7;GSTP1;CARD16
