Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2013	transcriptional repressor complex (GO:0017053)	2/16	0.0014843742936880234	0.3042967302060449	0	0	34.72222222222222	226.13756758932664	SMARCE1;ARID4A
GO_Cellular_Component_2013	nucleus (GO:0005634)	12/1435	0.004910375297006168	0.5033134679431321	0	0	2.3228803716608595	12.349372601303736	ERBB2IP;DDB1;EED;EXOSC9;PPP1R8;CSTF1;ARID4A;PLRG1;MAT2B;NR3C1;BIRC3;RBM6
GO_Cellular_Component_2013	protein complex (GO:0043234)	10/1154	0.008104045046386732	0.5537764115030933	0	0	2.4070864625457347	11.591064783154843	SMARCE1;PPP2CB;EXOSC9;PSMD3;VTI1A;EIF4H;ARID4A;MAT2B;CHMP7;MED7
GO_Cellular_Component_2013	cellular component (GO:0005575)	36/7324	0.013669186428740291	0.7005458044729399	0	0	1.3653741125068268	5.861020132585836	YWHAB;DDX1;ARID4A;ZNF22;PHAX;MAT2B;NR3C1;TREM1;FUNDC2;PPP2CB;MAPK8;EXOSC9;PSMD3;PPP1R8;ISOC1;VTI1A;EIF4H;CSTF1;RBM6;SMARCE1;RALBP1;EED;NSUN2;PLRG1;RAB11A;MED7;SKI;ERBB2IP;DDB1;HNRNPM;SQLE;EIF2S3;SNRPE;CD69;CHMP7;BIRC3
GO_Cellular_Component_2013	spliceosome (GO:0005681)	2/54	0.016209679409403953	0.664596855785562	0	0	10.288065843621398	42.40891688029692	HNRNPM;SNRPE
GO_Cellular_Component_2013	intracellular organelle (GO:0043229)	17/2798	0.019196139690122814	0.6558681060791961	0	0	1.6877134461123025	6.671609018890347	SMARCE1;EED;NSUN2;ARID4A;ZNF22;PLRG1;MAT2B;NR3C1;ERBB2IP;DDB1;FUNDC2;EXOSC9;PPP1R8;ISOC1;CSTF1;BIRC3;RBM6
GO_Cellular_Component_2013	nucleolus (GO:0005730)	5/459	0.02483192260246729	0.7272205905008278	0	0	3.0259017187121766	11.182598801236697	SMARCE1;NSUN2;EXOSC9;ZNF22;NR3C1
GO_Cellular_Component_2013	protein phosphatase type 2A complex (GO:0000159)	1/9	0.031943442931855415	0.8185507251287948	0	0	30.8641975308642	106.28976383552052	PPP2CB
GO_Cellular_Component_2013	eukaryotic translation initiation factor 4F complex (GO:0016281)	1/9	0.031943442931855415	0.7276006445589287	0	0	30.8641975308642	106.28976383552052	EIF4H
GO_Cellular_Component_2013	intracellular membrane-bounded organelle (GO:0043231)	14/2303	0.03361637364508247	0.6891356597241907	0	0	1.6886187098953056	5.7290476525579335	EED;ARID4A;PLRG1;MAT2B;NR3C1;ERBB2IP;DDB1;FUNDC2;EXOSC9;PPP1R8;ISOC1;CSTF1;BIRC3;RBM6
GO_Cellular_Component_2013	nucleoplasm (GO:0005654)	4/349	0.03713331561635121	0.6920299728501816	0	0	3.1836994587710916	10.484688689191936	SKI;DDB1;SNRPE;PHAX
GO_Cellular_Component_2013	SNARE complex (GO:0031201)	1/11	0.03890418375818435	0.664613139202316	0	0	25.25252525252525	81.98619905345255	VTI1A
GO_Cellular_Component_2013	basement membrane (GO:0005604)	1/12	0.04236602319273223	0.6680795965007775	0	0	23.14814814814815	73.18075411533883	ERBB2IP
GO_Cellular_Component_2013	SWI/SNF complex (GO:0016514)	1/13	0.04581556620557632	0.6708707908673676	0	0	21.367521367521373	65.87887547268608	SMARCE1
GO_Cellular_Component_2013	protein serine/threonine phosphatase complex (GO:0008287)	1/14	0.04925285580043781	0.6731223626059835	0	0	19.84126984126984	59.737855699394025	PPP2CB
GO_Cellular_Component_2013	cytosol (GO:0005829)	6/740	0.05013994076670465	0.6424179910734032	0	0	2.2522522522522523	6.740849927051332	MAPK8;EIF2S3;YWHAB;EIF4H;SNRPE;PHAX
GO_Cellular_Component_2013	ribonucleoprotein complex (GO:0030529)	3/266	0.07110251049383849	0.8574126265433465	0	0	3.132832080200502	8.28205712236721	HNRNPM;DDX1;SNRPE
GO_Cellular_Component_2013	nuclear chromosome (GO:0000228)	1/21	0.07297437040523923	0.8310969962818912	0	0	13.227513227513228	34.62496018279864	SMARCE1
GO_Cellular_Component_2013	trans-Golgi network (GO:0005802)	1/22	0.07631516402502538	0.8234004539542211	0	0	12.626262626262625	32.485904271486	RAB11A
GO_Cellular_Component_2013	small nuclear ribonucleoprotein complex (GO:0030532)	1/24	0.08296117473656324	0.8503520410497731	0	0	11.574074074074074	28.812298088938913	SNRPE
GO_Cellular_Component_2013	proteasome complex (GO:0000502)	1/25	0.0862664748551896	0.8421251116816127	0	0	11.111111111111114	27.225713649972228	PSMD3
GO_Cellular_Component_2013	chromatin remodeling complex (GO:0016585)	1/30	0.10261757102953976	0.9562091845934388	0	0	9.25925925925926	21.0809824380604	SMARCE1
GO_Cellular_Component_2013	chromosome (GO:0005694)	1/31	0.1058529955609793	0.9434723517391632	0	0	8.960573476702507	20.12279553535137	SMARCE1
GO_Cellular_Component_2013	peroxisome (GO:0005777)	1/52	0.1712006915092137	1.0	0	0	5.3418803418803416	9.427984915028425	ISOC1
GO_Cellular_Component_2013	cell-substrate junction (GO:0030055)	1/52	0.1712006915092137	1.0	0	0	5.3418803418803416	9.427984915028425	ERBB2IP
GO_Cellular_Component_2013	mitochondrial matrix (GO:0005759)	1/57	0.18605184089966628	1.0	0	0	4.8732943469785575	8.195564959007191	NR3C1
GO_Cellular_Component_2013	cytoplasm (GO:0005737)	7/1303	0.18767364808903547	1.0	0	0	1.4922827662658822	2.496664784924347	ERBB2IP;DDB1;YWHAB;NSUN2;ZNF22;NR3C1;BIRC3
GO_Cellular_Component_2013	extracellular matrix part (GO:0044420)	1/59	0.19191854685501045	1.0	0	0	4.708097928436913	7.771583013642613	ERBB2IP
