Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Epstein-Barr virus infection	10/201	7.505469872025059e-09	2.3116847205837187e-06	0	0	12.437810945273633	232.68201201437827	CXCL10;OAS1;OAS2;DDX58;IRF7;TAP1;ISG15;CD3E;CD3D;B2M
KEGG_2019_Human	Influenza A	8/171	4.1618048091137924e-07	6.409179406035239e-05	0	0	11.695906432748535	171.837974531292	CXCL10;OAS1;OAS2;DDX58;MX1;IRF7;TNFSF10;VDAC1
KEGG_2019_Human	Measles	7/138	1.334221119547947e-06	0.0001369800349402559	0	0	12.681159420289855	171.54010882603419	OAS1;OAS2;DDX58;MX1;IRF7;CD3E;CD3D
KEGG_2019_Human	Hepatitis C	7/155	2.8991814946929374e-06	0.00022323697509135616	0	0	11.29032258064516	143.96383020666937	CXCL10;OAS1;OAS2;CD81;DDX58;MX1;IRF7
KEGG_2019_Human	Primary immunodeficiency	4/37	1.4175657900346036e-05	0.0008732205266613159	0	0	27.02702702702703	301.72930531634245	TAP1;CD3E;IL7R;CD3D
KEGG_2019_Human	Hematopoietic cell lineage	5/97	4.3606372417334387e-05	0.0022384604507564984	0	0	12.886597938144329	129.38540285989956	CD2;CD7;CD3E;IL7R;CD3D
KEGG_2019_Human	NOD-like receptor signaling pathway	6/178	7.955724528179449e-05	0.003500518792398958	0	0	8.42696629213483	79.54241906452056	OAS1;OAS2;IRF7;VDAC1;GBP2;GBP1
KEGG_2019_Human	Cytokine-cytokine receptor interaction	7/294	0.00017543193940104844	0.006754129666940365	0	0	5.952380952380952	51.477734523551256	CXCL10;CCL8;TNFSF10;CCR7;LTB;IL7R;TNFSF13B
KEGG_2019_Human	RIG-I-like receptor signaling pathway	4/70	0.00017806487108354185	0.006093775588192321	0	0	14.285714285714285	123.3337518539474	CXCL10;DDX58;IRF7;ISG15
KEGG_2019_Human	Human immunodeficiency virus 1 infection	6/212	0.00020677015352606	0.006368520728602648	0	0	7.075471698113208	60.027613804635045	BST2;TAP1;CD3E;CD3D;B2M;APOBEC3A
KEGG_2019_Human	Antigen processing and presentation	4/77	0.0002573032396614192	0.007204490710519738	0	0	12.987012987012987	107.34097724372776	TAP1;PSME2;B2M;CTSS
KEGG_2019_Human	NF-kappa B signaling pathway	4/95	0.0005732468750287819	0.014713336459072069	0	0	10.526315789473683	78.57046407962795	DDX58;LTB;LAT;TNFSF13B
KEGG_2019_Human	Cytosolic DNA-sensing pathway	3/63	0.0020590891202587392	0.0487845730030532	0	0	11.904761904761903	73.63680438809948	CXCL10;DDX58;IRF7
KEGG_2019_Human	Herpes simplex virus 1 infection	7/492	0.0035353937601565666	0.07777866272344447	0	0	3.5569105691056913	20.078513301715425	BST2;OAS1;OAS2;DDX58;IRF7;TAP1;B2M
KEGG_2019_Human	Th1 and Th2 cell differentiation	3/92	0.005993654940763722	0.12306971478368176	0	0	8.152173913043477	41.715113145528974	CD3E;CD3D;LAT
KEGG_2019_Human	T cell receptor signaling pathway	3/101	0.007752501089898173	0.14923564598053984	0	0	7.425742574257425	36.087176483190646	CD3E;CD3D;LAT
KEGG_2019_Human	Th17 cell differentiation	3/107	0.009077171785606464	0.1644569947039289	0	0	7.009345794392522	32.95789214189858	CD3E;CD3D;LAT
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	4/219	0.01157198397331697	0.1980095035434237	0	0	4.5662100456621	20.361498980926047	VDAC1;CD3E;CD3D;B2M
KEGG_2019_Human	Proteasome	2/45	0.013995405931811032	0.2268728961577788	0	0	11.111111111111109	47.43362389941011	PSME2;PSMB9
KEGG_2019_Human	Parkinson disease	3/142	0.01934706080596526	0.297944736411865	0	0	5.28169014084507	20.83740194036782	UBE2L6;VDAC1;NDUFV2
KEGG_2019_Human	Necroptosis	3/162	0.027223060782394247	0.3992715581417823	0	0	4.629629629629629	16.683753898133578	TNFSF10;VDAC1;HIST2H2AC
KEGG_2019_Human	Chemokine signaling pathway	3/190	0.040709512574568216	0.5699331760439551	0	0	3.947368421052632	12.63668482757355	CXCL10;CCL8;CCR7
KEGG_2019_Human	Human papillomavirus infection	4/330	0.043343880446319406	0.5804310946724511	0	0	3.0303030303030303	9.51087803604648	MX1;TCF7;ISG15;OASL
KEGG_2019_Human	Rheumatoid arthritis	2/91	0.05147554010324264	0.6606027646582806	0	0	5.494505494505495	16.300266668067373	LTB;TNFSF13B
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	2/103	0.06405738945933581	0.7891870381390171	0	0	4.854368932038835	13.339688772450693	CD3E;CD3D
KEGG_2019_Human	Toll-like receptor signaling pathway	2/104	0.06514872400627847	0.7717618074589909	0	0	4.807692307692308	13.130204620569565	CXCL10;IRF7
KEGG_2019_Human	Steroid biosynthesis	1/19	0.07335659179643493	0.8368085286408131	0	0	13.157894736842106	34.373985667398465	HSD17B7
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	2/131	0.09677837209693288	1.0	0	0	3.8167938931297702	8.91347991761153	TNFSF10;LAT
KEGG_2019_Human	FoxO signaling pathway	2/132	0.09802172143887744	1.0	0	0	3.787878787878788	8.797599157334176	TNFSF10;IL7R
KEGG_2019_Human	Systemic lupus erythematosus	2/133	0.0992696434680371	1.0	0	0	3.759398496240601	8.683892706484253	HIST1H3D;HIST2H2AC
KEGG_2019_Human	Fatty acid elongation	1/27	0.10262976996432173	1.0	0	0	9.259259259259258	21.07988178458133	ACAA2
KEGG_2019_Human	Apoptosis	2/143	0.11198836880686808	1.0	0	0	3.496503496503496	7.655105814749995	TNFSF10;CTSS
KEGG_2019_Human	Cell adhesion molecules (CAMs)	2/145	0.11458159882242028	1.0	0	0	3.4482758620689653	7.4705795045994	CD2;SELL
KEGG_2019_Human	Phagosome	2/152	0.12377751512725675	1.0	0	0	3.2894736842105265	6.872597229557642	TAP1;CTSS
KEGG_2019_Human	SNARE interactions in vesicular transport	1/34	0.12749343166120705	1.0	0	0	7.352941176470589	15.14478258892177	VAMP5
KEGG_2019_Human	Thyroid cancer	1/37	0.13793987823465348	1.0	0	0	6.756756756756758	13.384711849464633	TCF7
KEGG_2019_Human	Hepatitis B	2/163	0.13857177807122514	1.0	0	0	3.0674846625766867	6.0624749520850365	DDX58;IRF7
KEGG_2019_Human	Bladder cancer	1/41	0.15167656696330015	1.0	0	0	6.097560975609755	11.500029720418453	TYMP
KEGG_2019_Human	Fatty acid degradation	1/44	0.16183701961764815	1.0	0	0	5.6818181818181825	10.347531260809081	ACAA2
KEGG_2019_Human	Alcoholism	2/180	0.1621333982919302	1.0	0	0	2.7777777777777777	5.053710656525358	HIST1H3D;HIST2H2AC
KEGG_2019_Human	ABC transporters	1/45	0.16519705871978851	1.0	0	0	5.5555555555555545	10.00342345785218	TAP1
KEGG_2019_Human	Intestinal immune network for IgA production	1/48	0.1751975715630564	1.0	0	0	5.208333333333333	9.072088341236297	TNFSF13B
KEGG_2019_Human	Valine, leucine and isoleucine degradation	1/48	0.1751975715630564	1.0	0	0	5.208333333333333	9.072088341236297	ACAA2
KEGG_2019_Human	Arginine and proline metabolism	1/49	0.17850471366148835	1.0	0	0	5.1020408163265305	8.791531995122153	LAP3
KEGG_2019_Human	Malaria	1/49	0.17850471366148835	1.0	0	0	5.1020408163265305	8.791531995122153	CD81
KEGG_2019_Human	Ovarian steroidogenesis	1/49	0.17850471366148835	1.0	0	0	5.1020408163265305	8.791531995122153	HSD17B7
KEGG_2019_Human	Huntington disease	2/193	0.1806094145149352	1.0	0	0	2.5906735751295336	4.433726710520291	VDAC1;NDUFV2
