Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antigen processing and presentation	9/77	1.5152385674265533E-9	4.666934787673784E-7	0	0	18.26298701298701	370.8791324293892	PDIA3;CD74;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA1;HLA-DRB1;HLA-DPA1;HSPA1A
Viral myocarditis	8/59	3.80618976896358E-9	5.861532244203913E-7	0	0	21.1864406779661	410.73383917037216	HLA-DPB1;HLA-DRA;HLA-A;ACTB;HLA-DQA1;EIF4G2;HLA-DRB1;HLA-DPA1
Epstein-Barr virus infection	11/201	7.015007990490361E-8	7.202074870236771E-6	0	0	8.550995024875622	140.85736769647764	PDIA3;PSMD4;TRADD;HLA-DPB1;HLA-DRA;BAX;HLA-A;VIM;HLA-DQA1;HLA-DRB1;HLA-DPA1
Allograft rejection	6/38	1.4253792383057564E-7	1.0975420134954324E-5	0	0	24.671052631578945	388.9060297820771	HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA1;HLA-DRB1;HLA-DPA1
Graft-versus-host disease	6/41	2.285410291969998E-7	1.4078127398535189E-5	0	0	22.865853658536583	349.65434643022627	HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA1;HLA-DRB1;HLA-DPA1
Type I diabetes mellitus	6/43	3.066449290649487E-7	1.5741106358667367E-5	0	0	21.802325581395348	326.98202052836444	HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA1;HLA-DRB1;HLA-DPA1
Autoimmune thyroid disease	6/53	1.0959259724483294E-6	4.822074278772649E-5	0	0	17.68867924528302	242.75785816815159	HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA1;HLA-DRB1;HLA-DPA1
Asthma	5/31	1.4757418801298374E-6	5.6816062384998744E-5	0	0	25.201612903225804	338.3656684737838	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Staphylococcus aureus infection	6/68	4.8312702756276706E-6	1.6533680498814695E-4	0	0	13.786764705882353	168.75553025532747	HLA-DPB1;HLA-DRA;FPR3;HLA-DQA1;HLA-DRB1;HLA-DPA1
Intestinal immune network for IgA production	5/48	1.3632491395856885E-5	4.19880734992392E-4	0	0	16.276041666666668	182.34138250806828	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Herpes simplex virus 1 infection	13/492	1.6655969838966208E-5	4.6636715549105387E-4	0	0	4.128556910569106	45.4254459285713	PDIA3;CD74;TRADD;HLA-A;PILRA;HLA-DPB1;HLA-DRA;BAX;SRSF5;HLA-DQA1;HLA-DRB1;SRSF9;HLA-DPA1
Tuberculosis	8/179	2.018828129792123E-5	5.181658866466449E-4	0	0	6.983240223463687	75.49167776303139	CD74;TRADD;HLA-DPB1;HLA-DRA;BAX;HLA-DQA1;HLA-DRB1;HLA-DPA1
Pathogenic Escherichia coli infection	5/55	2.6722423418648365E-5	6.331158779187459E-4	0	0	14.204545454545455	149.57397040629024	YWHAQ;ARPC3;ARPC1B;ARPC5;ACTB
Phagosome	7/152	5.591390226206475E-5	0.0012301058497654245	0	0	7.195723684210526	70.45834968089284	HLA-DPB1;HLA-DRA;HLA-A;ACTB;HLA-DQA1;HLA-DRB1;HLA-DPA1
Inflammatory bowel disease (IBD)	5/65	6.028950020213638E-5	0.0012379444041505337	0	0	12.01923076923077	116.7830840792534	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Glycolysis / Gluconeogenesis	5/68	7.49302194281086E-5	0.0014424067239910904	0	0	11.488970588235293	109.13319491212104	TPI1;PKM;PGK1;ALDOA;GAPDH
Toxoplasmosis	6/113	8.82082914466898E-5	0.001598126692092968	0	0	8.29646017699115	77.45417250031407	HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HSPA1A
