Term,Overlap,P-value,Adjusted P-value
Type I diabetes mellitus,2/43,0.0009238809256518343,0.05691106502015299
Graft-versus-host disease,2/41,0.0008400231444373617,0.06468178212167684
Apoptosis,3/143,0.00043312426399654013,0.06670113665546717
Autoimmune thyroid disease,2/53,0.0014009808945472965,0.07191701925342789
Allograft rejection,2/38,0.0007215335029183979,0.07407743963295553
Natural killer cell mediated cytotoxicity,3/131,0.00033503432399616714,0.10319057179081947
Non-alcoholic fatty liver disease (NAFLD),2/149,0.010551176463200605,0.4062202938332233
Fluid shear stress and atherosclerosis,2/139,0.009235946032404834,0.4063816254258127
Huntington disease,2/193,0.017246212306655073,0.5311833390449763
Transcriptional misregulation in cancer,2/186,0.016085337297922317,0.550475987528897
