Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antigen processing and presentation	9/77	3.0826518930550205E-12	9.494567830609464E-10	0	0	35.964035964035965	953.2350767888253	CD74;HLA-DMA;HSP90AB1;CTSL;PSME2;B2M;CTSS;HLA-DRB1;HLA-DPA1
Influenza A	10/171	1.9120568644261706E-10	2.9445675712163028E-8	0	0	17.99370220422852	402.6571547448462	CXCL10;HLA-DMA;OAS1;STAT1;MX1;CASP1;TNFSF10;CCL2;HLA-DRB1;HLA-DPA1
NOD-like receptor signaling pathway	9/178	5.957621686793269E-9	6.116491598441089E-7	0	0	15.557476231633535	294.63673350413603	HSP90AB1;OAS1;IFI16;STAT1;CASP1;CCL2;CARD16;GBP1;GBP4
Epstein-Barr virus infection	9/201	1.7184147234217627E-8	1.3231793370347574E-6	0	0	13.777267508610793	246.3276034519964	CXCL10;HLA-DMA;OAS1;GADD45B;STAT1;ISG15;B2M;HLA-DRB1;HLA-DPA1
Rheumatoid arthritis	6/91	4.998047298436223E-7	3.0787971358367136E-5	0	0	20.28740490278952	294.3509387344251	HLA-DMA;CTSL;CCL2;HLA-DRB1;TNFSF13B;HLA-DPA1
Staphylococcus aureus infection	5/68	2.7592221507308288E-6	1.4164007040418254E-4	0	0	22.624434389140273	289.60546939823416	CFD;HLA-DMA;C3AR1;HLA-DRB1;HLA-DPA1
Intestinal immune network for IgA production	4/48	1.7753258438002102E-5	7.811433712720925E-4	0	0	25.641025641025642	280.48567910047535	HLA-DMA;HLA-DRB1;TNFSF13B;HLA-DPA1
Tuberculosis	6/179	2.5196816509408514E-5	9.700774356122278E-4	0	0	10.313708637730985	109.20972480019391	CD74;HLA-DMA;STAT1;CTSS;HLA-DRB1;HLA-DPA1
Th17 cell differentiation	5/107	2.5528523405702857E-5	8.736428009951644E-4	0	0	14.378145219266715	152.05915407617542	HLA-DMA;HSP90AB1;STAT1;HLA-DRB1;HLA-DPA1
Herpes simplex virus 1 infection	9/492	2.8848099225686562E-5	8.885214561511461E-4	0	0	5.628517823639775	58.83752224337089	BST2;CD74;HLA-DMA;OAS1;STAT1;CCL2;B2M;HLA-DRB1;HLA-DPA1
Inflammatory bowel disease (IBD)	4/65	5.926761769185078E-5	0.001659493295371822	0	0	18.93491124260355	184.30196406413557	HLA-DMA;STAT1;HLA-DRB1;HLA-DPA1
Leishmaniasis	4/74	9.854339481142582E-5	0.002529280466826596	0	0	16.632016632016633	153.43057879985963	HLA-DMA;STAT1;HLA-DRB1;HLA-DPA1
Apoptosis	5/143	1.0192283199661782E-4	0.002414787096535253	0	0	10.758472296933837	98.88428811253823	GADD45B;CTSL;TNFSF10;CTSS;MCL1
Phagosome	5/152	1.3580151067745148E-4	0.0029876332349039326	0	0	10.121457489878543	90.12465808319715	HLA-DMA;CTSL;CTSS;HLA-DRB1;HLA-DPA1
Asthma	3/31	1.379928839542096E-4	0.0028334538838597706	0	0	29.77667493796526	264.664271156898	HLA-DMA;HLA-DRB1;HLA-DPA1
Th1 and Th2 cell differentiation	4/92	2.290552443215702E-4	0.0044093134531902264	0	0	13.377926421404682	112.12772363779526	HLA-DMA;STAT1;HLA-DRB1;HLA-DPA1
IL-17 signaling pathway	4/93	2.3876907038645557E-4	0.004325933745825195	0	0	13.234077750206785	110.37238982073303	CXCL10;HSP90AB1;CCL7;CCL2
Allograft rejection	3/38	2.548085324307646E-4	0.004360057110481972	0	0	24.291497975708502	201.012100762348	HLA-DMA;HLA-DRB1;HLA-DPA1
Graft-versus-host disease	3/41	3.1975326308973976E-4	0.005183368685875781	0	0	22.5140712945591	181.1923657582559	HLA-DMA;HLA-DRB1;HLA-DPA1
Type I diabetes mellitus	3/43	3.6846447138337313E-4	0.005674352859303946	0	0	21.466905187835422	169.72092161301057	HLA-DMA;HLA-DRB1;HLA-DPA1
Proteasome	3/45	4.2171165219509206E-4	0.006185104232194684	0	0	20.512820512820515	159.40900033053455	PSME2;PSMB8;PSMB9
Toxoplasmosis	4/113	5.015888163253838E-4	0.007022243428555373	0	0	10.891763104152485	82.75267381779332	HLA-DMA;STAT1;HLA-DRB1;HLA-DPA1
Autoimmune thyroid disease	3/53	6.83420062921915E-4	0.009151886059997817	0	0	17.416545718432513	126.93876681343315	HLA-DMA;HLA-DRB1;HLA-DPA1
Viral myocarditis	3/59	9.353311806859376E-4	0.012003416818802867	0	0	15.64537157757497	109.12036329776505	HLA-DMA;HLA-DRB1;HLA-DPA1
Hepatitis C	4/155	0.0016275432915230108	0.02005133335156349	0	0	7.94044665012407	50.98309545783572	CXCL10;OAS1;STAT1;MX1
Necroptosis	4/162	0.0019127170484483568	0.022658340420080532	0	0	7.597340930674264	47.553508142968695	HSP90AB1;STAT1;CASP1;TNFSF10
Cytokine-cytokine receptor interaction	5/294	0.0026680596437117354	0.03043564334308202	0	0	5.232862375719519	31.012055447223137	CXCL10;CCL7;TNFSF10;CCL2;TNFSF13B
Chemokine signaling pathway	4/190	0.003401226801428545	0.037413494815713995	0	0	6.477732793522267	36.81696575541218	CXCL10;CCL7;STAT1;CCL2
Hematopoietic cell lineage	3/97	0.0038859998059354536	0.04127199793890068	0	0	9.516256938937351	52.818794397776045	HLA-DMA;HLA-DRB1;HLA-DPA1
Human T-cell leukemia virus 1 infection	4/219	0.005621842840686268	0.05771758649771235	0	0	5.619950825430277	29.11750339996382	HLA-DMA;B2M;HLA-DRB1;HLA-DPA1
Lysosome	3/123	0.00751346013072673	0.07464986194399462	0	0	7.5046904315197	36.705885049637835	CTSL;NPC2;CTSS
Systemic lupus erythematosus	3/133	0.009301013870010541	0.08952225849885147	0	0	6.940427993059572	32.46476714737502	HLA-DMA;HLA-DRB1;HLA-DPA1
Measles	3/138	0.010280133526324326	0.09594791291236038	0	0	6.688963210702341	30.619010234765337	OAS1;STAT1;MX1
Fluid shear stress and atherosclerosis	3/139	0.010482874703484902	0.09496251201980441	0	0	6.640841173215275	30.269035975225226	HSP90AB1;CTSL;CCL2
Cell adhesion molecules (CAMs)	3/145	0.0117481564702883	0.10338377693853704	0	0	6.366047745358091	28.291091438814643	HLA-DMA;HLA-DRB1;HLA-DPA1
Cytosolic DNA-sensing pathway	2/63	0.017882929022996263	0.15299839275230137	0	0	9.768009768009767	39.30557955603675	CXCL10;CASP1
RIG-I-like receptor signaling pathway	2/70	0.021794992887509062	0.18142858944196733	0	0	8.791208791208792	33.63582434837569	CXCL10;ISG15
Human papillomavirus infection	4/330	0.022420938841438028	0.18172760955691877	0	0	3.72960372960373	14.164139811801272	STAT1;MX1;ISG15;OASL
Pancreatic cancer	2/75	0.024786276879997394	0.19574803279587685	0	0	8.205128205128206	30.338175430397662	GADD45B;STAT1
Complement and coagulation cascades	2/79	0.027292973640561793	0.2101558970323258	0	0	7.789678675754625	28.05161429968184	CFD;C3AR1
Human immunodeficiency virus 1 infection	3/212	0.031731156295273344	0.23837063753522414	0	0	4.354136429608128	15.023757180029804	BST2;B2M;APOBEC3A
Salmonella infection	2/86	0.031913456894228094	0.23403201722433936	0	0	7.155635062611807	24.649212965505477	CASP1;ARPC5
Salivary secretion	2/90	0.034682418206133506	0.248422902499747	0	0	6.837606837606838	22.984768549562357	CST3;LYZ
NF-kappa B signaling pathway	2/95	0.038270020304469736	0.26789014213128814	0	0	6.477732793522267	21.13741505416209	GADD45B;TNFSF13B
AGE-RAGE signaling pathway in diabetic complications	2/100	0.04199313241076799	0.28741966183370093	0	0	6.153846153846154	19.50922577291064	STAT1;CCL2
Toll-like receptor signaling pathway	2/104	0.045065714532955874	0.3017443494815306	0	0	5.91715976331361	18.341026813561403	CXCL10;STAT1
C-type lectin receptor signaling pathway	2/104	0.045065714532955874	0.2953242569393704	0	0	5.91715976331361	18.341026813561403	STAT1;CASP1
TNF signaling pathway	2/110	0.04982535596185024	0.3197127007552057	0	0	5.594405594405594	16.778916188346557	CXCL10;CCL2
Glycosaminoglycan degradation	1/19	0.0600026111891116	0.3771592703315586	0	0	16.194331983805668	45.56060239495497	HPSE
Natural killer cell mediated cytotoxicity	2/131	0.06779583253668175	0.41762232842595964	0	0	4.697592483852026	12.642417160002609	TNFSF10;CD48
FoxO signaling pathway	2/132	0.06869866077295063	0.41488602976605476	0	0	4.662004662004662	12.484967709964357	GADD45B;TNFSF10
JAK-STAT signaling pathway	2/162	0.09749658406469142	0.577479767152403	0	0	3.798670465337132	8.843069085758852	STAT1;MCL1
Protein processing in endoplasmic reticulum	2/165	0.10054073677116228	0.5842744702927921	0	0	3.72960372960373	8.56761694211614	DNAJA1;HSP90AB1
African trypanosomiasis	1/37	0.11357092133098767	0.6477748846285963	0	0	8.316008316008316	18.090043905705823	IDO1
Thyroid cancer	1/37	0.11357092133098767	0.635997159453531	0	0	8.316008316008316	18.090043905705823	GADD45B
Glycine, serine and threonine metabolism	1/40	0.12220187846195762	0.6721103315407669	0	0	7.692307692307693	16.169852771797522	SDS
Tryptophan metabolism	1/42	0.12790982545773796	0.6911618638768999	0	0	7.326007326007326	15.065419428151298	IDO1
Proteoglycans in cancer	2/201	0.13892827326220888	0.737757037323454	0	0	3.0616150019135095	6.043008032856538	CTSL;HPSE
Cysteine and methionine metabolism	1/47	0.14202029523984686	0.7413940836249633	0	0	6.546644844517185	12.777645220093595	SDS
Arginine and proline metabolism	1/49	0.1476013260006852	0.7576868068035174	0	0	6.279434850863422	12.01406833979051	LAP3
Malaria	1/49	0.1476013260006852	0.7452657116100171	0	0	6.279434850863422	12.01406833979051	CCL2
