Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Natural killer cell mediated cytotoxicity	3/131	3.3503432399616714E-4	0.10319057179081947	0	0	21.810250817884405	174.5098707022419	TYROBP;PRF1;GZMB
Apoptosis	3/143	4.331242639965401E-4	0.06670113665546717	0	0	19.980019980019982	154.73498276339737	DDIT3;PRF1;GZMB
Allograft rejection	2/38	7.215335029183979E-4	0.07407743963295552	0	0	50.12531328320802	362.61312008707216	PRF1;GZMB
Graft-versus-host disease	2/41	8.400231444373617E-4	0.06468178212167684	0	0	46.45760743321719	329.0165441860566	PRF1;GZMB
Type I diabetes mellitus	2/43	9.238809256518343E-4	0.056911065020152994	0	0	44.296788482835	309.49844354236984	PRF1;GZMB
Autoimmune thyroid disease	2/53	0.0014009808945472965	0.07191701925342789	0	0	35.93890386343217	236.13953813949544	PRF1;GZMB
Fluid shear stress and atherosclerosis	2/139	0.009235946032404834	0.4063816254258127	0	0	13.703323055841043	64.19530292134706	GSTO1;TXN
Non-alcoholic fatty liver disease (NAFLD)	2/149	0.010551176463200605	0.4062202938332233	0	0	12.783636944710771	58.184952536626426	DDIT3;COX5A
Transcriptional misregulation in cancer	2/186	0.016085337297922317	0.550475987528897	0	0	10.240655401945727	42.292341513492005	DDIT3;GZMB
Huntington disease	2/193	0.017246212306655073	0.5311833390449763	0	0	9.86923266716013	40.07069070852204	SOD2;COX5A
African trypanosomiasis	1/37	0.03815814737853566	1.0	0	0	25.740025740025743	84.06733545331001	HBB
Ferroptosis	1/40	0.041190516066627526	1.0	0	0	23.809523809523814	75.9416009924432	SAT1
Arginine and proline metabolism	1/49	0.0502330909367498	1.0	0	0	19.43634596695821	58.13569071802752	SAT1
Malaria	1/49	0.0502330909367498	1.0	0	0	19.43634596695821	58.13569071802752	HBB
Glutathione metabolism	1/56	0.05720999346183072	1.0	0	0	17.006802721088434	48.65691641131607	GSTO1
Viral myocarditis	1/59	0.06018512849852576	1.0	0	0	16.142050040355127	45.36448736228767	PRF1
Metabolism of xenobiotics by cytochrome P450	1/74	0.0749271736072752	1.0	0	0	12.870012870012872	33.349274848898695	GSTO1
Cardiac muscle contraction	1/78	0.07882103324040048	1.0	0	0	12.210012210012211	31.020456635415123	COX5A
Chemical carcinogenesis	1/82	0.0826992801866571	1.0	0	0	11.614401858304298	28.949412089433217	GSTO1
Peroxisome	1/83	0.08366640942468323	1.0	0	0	11.474469305794608	28.46721403475123	SOD2
Amoebiasis	1/96	0.09615105130710878	1.0	0	0	9.920634920634921	23.23248881920468	SERPINB1
Longevity regulating pathway	1/102	0.10185839864661637	1.0	0	0	9.337068160597573	21.327466655184338	SOD2
Drug metabolism	1/108	0.10753141303223504	1.0	0	0	8.818342151675486	19.664658376078837	GSTO1
Leukocyte transendothelial migration	1/112	0.11129444571169249	1.0	0	0	8.503401360544217	18.66986331381165	MYL12B
Platelet activation	1/124	0.12249309035972152	1.0	0	0	7.680491551459293	16.126733147580286	MYL12B
Osteoclast differentiation	1/127	0.1252716795248585	1.0	0	0	7.499062617172854	15.577581282164841	TYROBP
FoxO signaling pathway	1/132	0.1298840498273468	1.0	0	0	7.2150072150072155	14.726646110626458	SOD2
Oxidative phosphorylation	1/133	0.1308037401396383	1.0	0	0	7.160759040458289	14.565393813305453	COX5A
Parkinson disease	1/142	0.13903939622838343	1.0	0	0	6.706908115358821	13.232716028876983	COX5A
Protein processing in endoplasmic reticulum	1/165	0.15974978371940524	1.0	0	0	5.772005772005772	10.58670441324414	DDIT3
Hepatocellular carcinoma	1/168	0.16241589546255283	1.0	0	0	5.668934240362812	10.303826403516714	GSTO1
Tight junction	1/170	0.1641888252191418	1.0	0	0	5.602240896358544	10.121782297996496	MYL12B
Alzheimer disease	1/171	0.16507394925133972	1.0	0	0	5.56947925368978	10.032646773612642	COX5A
NOD-like receptor signaling pathway	1/178	0.17124486821024534	1.0	0	0	5.350454788657036	9.441737661553308	TXN
Axon guidance	1/181	0.1738762289603492	1.0	0	0	5.261773217574323	9.205006896581747	MYL12B
Focal adhesion	1/199	0.18949807120861503	1.0	0	0	4.785833931562575	7.960643373199855	MYL12B
Regulation of actin cytoskeleton	1/214	0.2023009615295787	1.0	0	0	4.4503782821539835	7.111699073570127	MYL12B
Thermogenesis	1/231	0.21657803625074293	1.0	0	0	4.1228612657184085	6.307171106608754	COX5A
MAPK signaling pathway	1/295	0.2681749267086405	1.0	0	0	3.228410008071025	4.248961419840015	DDIT3
Pathways in cancer	1/530	0.43123701758650584	1.0	0	0	1.7969451931716085	1.5114059572990823	GSTO1
