File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF718DSJ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR376XAV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/SMAD3-human/				SMAD3-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF089XMF/, /files/ENCFF356LFX/, /files/ENCFF975GAC/	144560	ENCODE Processing Pipeline	20ae398fd04e24d5a1004d32c84049cc		https://www.encodeproject.org/files/ENCFF718DSJ/@@download/ENCFF718DSJ.bed.gz				released	s3://encode-public/2020/07/03/f3795b6e-44c9-4def-ac2d-f52b0eb7e65b/ENCFF718DSJ.bed.gz	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF529QQI	bigWig	bigWig		signal p-value	GRCh38	ENCSR376XAV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/SMAD3-human/				SMAD3-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF089XMF/, /files/ENCFF174OKT/, /files/ENCFF975GAC/	1113200357	ENCODE Processing Pipeline	fdd63695eb81a0bd299a2c2ef6a5945c		https://www.encodeproject.org/files/ENCFF529QQI/@@download/ENCFF529QQI.bigWig				released	s3://encode-public/2020/07/03/914d7513-8457-4bbf-9bab-700658677caf/ENCFF529QQI.bigWig	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF885DQE	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR376XAV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/SMAD3-human/				SMAD3-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF718DSJ/	313874	ENCODE Processing Pipeline	d6d95a816d90aa5f64744c8bf267d842		https://www.encodeproject.org/files/ENCFF885DQE/@@download/ENCFF885DQE.bigBed				released	s3://encode-public/2020/07/03/102537e8-07d8-49a8-8046-3786b35a325f/ENCFF885DQE.bigBed	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF265WDL	bigWig	bigWig		signal p-value	GRCh38	ENCSR870YEN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZSCAN32-human/				ZSCAN32-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF450DPE/, /files/ENCFF358OVH/	1268109150	ENCODE Processing Pipeline	66992e4103bed791d89b36857fba8b3d		https://www.encodeproject.org/files/ENCFF265WDL/@@download/ENCFF265WDL.bigWig				released	s3://encode-public/2020/07/04/c8dcfd76-69fc-4913-90ba-5c23ee35e4b9/ENCFF265WDL.bigWig	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF960API	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR870YEN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZSCAN32-human/				ZSCAN32-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF537HHU/	187627	ENCODE Processing Pipeline	65adffccbfbdfda4a0b3145029b05f88		https://www.encodeproject.org/files/ENCFF960API/@@download/ENCFF960API.bigBed				released	s3://encode-public/2020/07/04/9f442ed5-37f2-481d-a137-14d35c83ca43/ENCFF960API.bigBed	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF537HHU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR870YEN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZSCAN32-human/				ZSCAN32-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF450DPE/, /files/ENCFF358OVH/, /files/ENCFF356LFX/	83811	ENCODE Processing Pipeline	1929de42f3669816f04c675a97584442		https://www.encodeproject.org/files/ENCFF537HHU/@@download/ENCFF537HHU.bed.gz				released	s3://encode-public/2020/07/04/223cbcb9-0a64-426e-9f58-82b68ffcc752/ENCFF537HHU.bed.gz	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF447FCS	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR590FLL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF347-human/				ZNF347-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF843NBV/	83030	ENCODE Processing Pipeline	76853aa420fdb949461f8032db9e949c		https://www.encodeproject.org/files/ENCFF447FCS/@@download/ENCFF447FCS.bigBed				released	s3://encode-public/2020/07/03/352f11df-3c62-4954-8e58-8c0e14adda5e/ENCFF447FCS.bigBed	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth		missing compliant biosample characterization
ENCFF563XMY	bigWig	bigWig		signal p-value	GRCh38	ENCSR590FLL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF347-human/				ZNF347-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF999FLB/, /files/ENCFF022VGJ/, /files/ENCFF174OKT/	1062562815	ENCODE Processing Pipeline	d01e3aa935f311f32991f796582632a6		https://www.encodeproject.org/files/ENCFF563XMY/@@download/ENCFF563XMY.bigWig				released	s3://encode-public/2020/07/03/8c72fa3d-4c86-49a8-8453-09489f3f160d/ENCFF563XMY.bigWig	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth		missing compliant biosample characterization
ENCFF843NBV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR590FLL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF347-human/				ZNF347-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF999FLB/, /files/ENCFF022VGJ/, /files/ENCFF174OKT/	18615	ENCODE Processing Pipeline	cab83f2be2220d6d328bd6566fc54d85		https://www.encodeproject.org/files/ENCFF843NBV/@@download/ENCFF843NBV.bed.gz				released	s3://encode-public/2020/07/03/431a0375-fb09-4351-b0d3-5e20203217f6/ENCFF843NBV.bed.gz	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth		missing compliant biosample characterization
ENCFF241BKF	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR967AVR	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZBTB5-human/				ZBTB5-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF382IYX/	170961	ENCODE Processing Pipeline	36a1735567bfa3b4b32e7127fbca1e48		https://www.encodeproject.org/files/ENCFF241BKF/@@download/ENCFF241BKF.bigBed				released	s3://encode-public/2020/07/03/0e6ba049-3170-48ed-94b8-9230cec22a6b/ENCFF241BKF.bigBed	ENCODE4 v1.4.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		missing compliant biosample characterization
