File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF232TVE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR410DWC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'dbxrefs': ['FactorBook:PYGO2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/90780/'], '@type': ['Target', 'Item'], 'label': 'PYGO2', 'title': 'PYGO2 (Homo sapiens)', 'investigated_as': ['chromatin remodeler'], 'uuid': '65283184-0b36-42b4-84aa-f97ced0d29a1', 'schema_version': '14', 'name': 'PYGO2-human', '@id': '/targets/PYGO2-human/', 'status': 'released'}				PYGO2-human	DNA						2016-01-14	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF876BHG/, /files/ENCFF426YDV/, /files/ENCFF356LFX/, /files/ENCFF893YJL/	89279	ENCODE Processing Pipeline	aaeacc9b1d019172f62bcc58c3da7bb8		https://www.encodeproject.org/files/ENCFF232TVE/@@download/ENCFF232TVE.bed.gz				released	s3://encode-public/2020/12/04/9f3dbcf9-7765-43dd-b7cb-eb283bd6c715/ENCFF232TVE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing genetic modification characterization, missing compliant biosample characterization, moderate library complexity		
ENCFF883ZBF	bigWig	bigWig		signal p-value	GRCh38	ENCSR410DWC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'dbxrefs': ['FactorBook:PYGO2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/90780/'], '@type': ['Target', 'Item'], 'label': 'PYGO2', 'title': 'PYGO2 (Homo sapiens)', 'investigated_as': ['chromatin remodeler'], 'uuid': '65283184-0b36-42b4-84aa-f97ced0d29a1', 'schema_version': '14', 'name': 'PYGO2-human', '@id': '/targets/PYGO2-human/', 'status': 'released'}				PYGO2-human	DNA						2016-01-14	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF876BHG/, /files/ENCFF426YDV/, /files/ENCFF893YJL/	1240571592	ENCODE Processing Pipeline	9e66886a3f2980e1bfa2326b25ff1edb		https://www.encodeproject.org/files/ENCFF883ZBF/@@download/ENCFF883ZBF.bigWig				released	s3://encode-public/2020/12/04/ef28e07c-4197-4dab-8e48-0b6f6c657530/ENCFF883ZBF.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing genetic modification characterization, missing compliant biosample characterization, moderate library complexity		
ENCFF458IIA	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR410DWC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'dbxrefs': ['FactorBook:PYGO2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/90780/'], '@type': ['Target', 'Item'], 'label': 'PYGO2', 'title': 'PYGO2 (Homo sapiens)', 'investigated_as': ['chromatin remodeler'], 'uuid': '65283184-0b36-42b4-84aa-f97ced0d29a1', 'schema_version': '14', 'name': 'PYGO2-human', '@id': '/targets/PYGO2-human/', 'status': 'released'}				PYGO2-human	DNA						2016-01-14	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF232TVE/	225323	ENCODE Processing Pipeline	1cf7df2d5ee67a84edc33b48b84cb55c		https://www.encodeproject.org/files/ENCFF458IIA/@@download/ENCFF458IIA.bigBed				released	s3://encode-public/2020/12/04/d52de82e-6e92-40f1-ae7a-d41aaffcc21c/ENCFF458IIA.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing genetic modification characterization, missing compliant biosample characterization, moderate library complexity		
ENCFF985QJI	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR093FKD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10488/'], '@type': ['Target', 'Item'], 'name': 'CREB3-human', 'label': 'CREB3', '@id': '/targets/CREB3-human/', 'title': 'CREB3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fad03896-d3f9-4829-bfd2-eacdac16462b', 'status': 'released'}				CREB3-human	DNA						2016-03-02	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF950IYB/	455523	ENCODE Processing Pipeline	180fa881a14dd79d43b4981ae2e6a2ff		https://www.encodeproject.org/files/ENCFF985QJI/@@download/ENCFF985QJI.bigBed				released	s3://encode-public/2020/11/29/85e320f3-f7fa-4b33-afd7-2ffdd4447be4/ENCFF985QJI.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing compliant biosample characterization, missing genetic modification characterization, low read depth, moderate library complexity		
ENCFF462EMG	bigWig	bigWig		signal p-value	GRCh38	ENCSR093FKD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10488/'], '@type': ['Target', 'Item'], 'name': 'CREB3-human', 'label': 'CREB3', '@id': '/targets/CREB3-human/', 'title': 'CREB3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fad03896-d3f9-4829-bfd2-eacdac16462b', 'status': 'released'}				CREB3-human	DNA						2016-03-02	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF103EMZ/, /files/ENCFF240GAG/, /files/ENCFF464NPO/	967038692	ENCODE Processing Pipeline	3d7b92affc8b0d672bd82bf1dc033363		https://www.encodeproject.org/files/ENCFF462EMG/@@download/ENCFF462EMG.bigWig				released	s3://encode-public/2020/11/29/3c8e7690-dd82-4860-abe1-2f748f238ac3/ENCFF462EMG.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing compliant biosample characterization, missing genetic modification characterization, low read depth, moderate library complexity		
ENCFF950IYB	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR093FKD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10488/'], '@type': ['Target', 'Item'], 'name': 'CREB3-human', 'label': 'CREB3', '@id': '/targets/CREB3-human/', 'title': 'CREB3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'fad03896-d3f9-4829-bfd2-eacdac16462b', 'status': 'released'}				CREB3-human	DNA						2016-03-02	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF103EMZ/, /files/ENCFF240GAG/, /files/ENCFF464NPO/, /files/ENCFF356LFX/	204923	ENCODE Processing Pipeline	5c89d519684a7da51d7196a8b134e75d		https://www.encodeproject.org/files/ENCFF950IYB/@@download/ENCFF950IYB.bed.gz				released	s3://encode-public/2020/11/29/03eebe13-fdc1-4989-85d2-3c2ce9b0b7bb/ENCFF950IYB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing compliant biosample characterization, missing genetic modification characterization, low read depth, moderate library complexity		
ENCFF135DIS	bigWig	bigWig		signal p-value	GRCh38	ENCSR382AIB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'dbxrefs': ['FactorBook:DDX20'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11218/'], '@type': ['Target', 'Item'], 'label': 'DDX20', 'title': 'DDX20 (Homo sapiens)', 'investigated_as': ['cofactor'], 'uuid': 'a89b9f45-7bd1-48ed-b6b4-a7175525a5e5', 'schema_version': '14', 'name': 'DDX20-human', '@id': '/targets/DDX20-human/', 'status': 'released'}				DDX20-human	DNA						2016-02-16	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF190KVM/, /files/ENCFF791UUL/, /files/ENCFF274BRV/	1135092709	ENCODE Processing Pipeline	375ab3e4c7ef3dd001b158838ba46938		https://www.encodeproject.org/files/ENCFF135DIS/@@download/ENCFF135DIS.bigWig				released	s3://encode-public/2020/11/27/369736c1-fa4f-4fb0-8ad4-1ef86eaeae1e/ENCFF135DIS.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing compliant biosample characterization, missing genetic modification characterization, low read depth, moderate library complexity		
ENCFF748EAO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR382AIB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'dbxrefs': ['FactorBook:DDX20'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11218/'], '@type': ['Target', 'Item'], 'label': 'DDX20', 'title': 'DDX20 (Homo sapiens)', 'investigated_as': ['cofactor'], 'uuid': 'a89b9f45-7bd1-48ed-b6b4-a7175525a5e5', 'schema_version': '14', 'name': 'DDX20-human', '@id': '/targets/DDX20-human/', 'status': 'released'}				DDX20-human	DNA						2016-02-16	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF190KVM/, /files/ENCFF791UUL/, /files/ENCFF274BRV/, /files/ENCFF356LFX/	79525	ENCODE Processing Pipeline	594805cf580421fcb859d6aa9ac4e871		https://www.encodeproject.org/files/ENCFF748EAO/@@download/ENCFF748EAO.bed.gz				released	s3://encode-public/2020/11/27/969367f1-51e9-4d1d-9de1-d0df4f8a5e5b/ENCFF748EAO.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing compliant biosample characterization, missing genetic modification characterization, low read depth, moderate library complexity		
ENCFF373BEC	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR382AIB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens					insertion	{'dbxrefs': ['FactorBook:DDX20'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11218/'], '@type': ['Target', 'Item'], 'label': 'DDX20', 'title': 'DDX20 (Homo sapiens)', 'investigated_as': ['cofactor'], 'uuid': 'a89b9f45-7bd1-48ed-b6b4-a7175525a5e5', 'schema_version': '14', 'name': 'DDX20-human', '@id': '/targets/DDX20-human/', 'status': 'released'}				DDX20-human	DNA						2016-02-16	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF748EAO/	206623	ENCODE Processing Pipeline	3b7635e9de051dbccc53994462c5e7d7		https://www.encodeproject.org/files/ENCFF373BEC/@@download/ENCFF373BEC.bigBed				released	s3://encode-public/2020/11/27/19643baf-d43c-4f7f-9bbb-5ef0554493b4/ENCFF373BEC.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, missing compliant biosample characterization, missing genetic modification characterization, low read depth, moderate library complexity		
ENCFF606OSZ	bigWig	bigWig		signal p-value	GRCh38	ENCSR207PFI	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ZBED1-human	DNA						2016-02-05	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF067ROS/, /files/ENCFF052HUW/, /files/ENCFF116KZS/, /files/ENCFF264GVN/	1095598140	ENCODE Processing Pipeline	d01684e39e2c29e6646996114d5a1a5b		https://www.encodeproject.org/files/ENCFF606OSZ/@@download/ENCFF606OSZ.bigWig				released	s3://encode-public/2020/12/08/447e8b46-98a3-4442-a795-a88397d90b24/ENCFF606OSZ.bigWig	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance		
