File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF736FGN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ATJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HDAC6-human	DNA						2012-08-06	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF572OUT/, /files/ENCFF226FKB/, /files/ENCFF555KWG/, /files/ENCFF420ARY/, /files/ENCFF666YXZ/, /files/ENCFF356LFX/	27638	ENCODE Processing Pipeline	54e425028d285330ee26fe4d44b81bb8		https://www.encodeproject.org/files/ENCFF736FGN/@@download/ENCFF736FGN.bed.gz				released	s3://encode-public/2020/12/10/3ec08089-c385-4bbc-a9ca-12d662410901/ENCFF736FGN.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, low read length, inconsistent platforms, control low read depth, mild to moderate bottlenecking		
ENCFF895MHN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										EBF1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF075XYL/, /files/ENCFF882OBA/, /files/ENCFF650TOW/, /files/ENCFF519KIS/, /files/ENCFF679DWX/, /files/ENCFF356LFX/	744477	ENCODE Processing Pipeline	62c5cdd498d2027d029b847f0ab2241a		https://www.encodeproject.org/files/ENCFF895MHN/@@download/ENCFF895MHN.bed.gz				released	s3://encode-public/2020/12/12/4cbad5c1-c53a-4484-aeb7-75ae90addb79/ENCFF895MHN.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
ENCFF806TIM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJX	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										SP1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF875HPK/, /files/ENCFF241ZKB/, /files/ENCFF356LFX/, /files/ENCFF718SND/, /files/ENCFF527WLW/	452594	ENCODE Processing Pipeline	be18a4652cf9648207ba9963b65a34c5		https://www.encodeproject.org/files/ENCFF806TIM/@@download/ENCFF806TIM.bed.gz				released	s3://encode-public/2020/12/10/fc51aefc-fe54-46bb-af26-5fdef7246ad9/ENCFF806TIM.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length, low read depth	insufficient replicate concordance	
ENCFF085GHX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EWJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										E2F6-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF854FCI/, /files/ENCFF356LFX/, /files/ENCFF355LXQ/, /files/ENCFF762JGN/	276110	ENCODE Processing Pipeline	be48ec839ac4f5cdce6a618a40f51780		https://www.encodeproject.org/files/ENCFF085GHX/@@download/ENCFF085GHX.bed.gz				released	s3://encode-public/2020/12/26/bd8a1262-8c96-43f0-92e6-168ace9c647b/ENCFF085GHX.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths	insufficient read length	extremely low read depth
ENCFF710YJK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBS	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MAFK-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF213MOW/, /files/ENCFF972YCC/, /files/ENCFF038QUO/, /files/ENCFF356LFX/	241375	ENCODE Processing Pipeline	8cc2c81282d02406ee3bc3e9ec250eff		https://www.encodeproject.org/files/ENCFF710YJK/@@download/ENCFF710YJK.bed.gz				released	s3://encode-public/2020/12/11/6e582c2c-1a9c-4d0f-a39d-138fe3a7bec4/ENCFF710YJK.bed.gz	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, mild to moderate bottlenecking, low read depth		
ENCFF428SMH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000FCI	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens										ZNF274-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1, 2	1_1, 2_1							/files/ENCFF067GGR/, /files/ENCFF670YTB/, /files/ENCFF493CYY/, /files/ENCFF356LFX/	7531	ENCODE Processing Pipeline	b43777413696c54b0f0cb159bbe1c304		https://www.encodeproject.org/files/ENCFF428SMH/@@download/ENCFF428SMH.bed.gz				released	s3://encode-public/2020/12/26/a3e5cb1a-8daa-4cda-8005-4a4fe8da8621/ENCFF428SMH.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, inconsistent platforms		
ENCFF785MSW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZX	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										IRF3-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF278NPZ/, /files/ENCFF683ICJ/, /files/ENCFF042LWY/, /files/ENCFF356LFX/, /files/ENCFF605SWO/, /files/ENCFF863XTX/, /files/ENCFF764MTX/	36162	ENCODE Processing Pipeline	47abe46fac595052624d1515b3740696		https://www.encodeproject.org/files/ENCFF785MSW/@@download/ENCFF785MSW.bed.gz				released	s3://encode-public/2021/01/07/3f2e2a3d-4d25-4fee-ac04-bd5961dc97db/ENCFF785MSW.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, improper control_type of control experiment, low read length, low read depth		
ENCFF267QRI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AUT	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SETDB1-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF356LFX/, /files/ENCFF666YXZ/, /files/ENCFF226FKB/, /files/ENCFF161LRR/, /files/ENCFF420ARY/	29798	ENCODE Processing Pipeline	fda9b45d1fed8064ece471e6239b0569		https://www.encodeproject.org/files/ENCFF267QRI/@@download/ENCFF267QRI.bed.gz				released	s3://encode-public/2020/12/10/c790a76d-2696-4fdc-a003-f073000f89be/ENCFF267QRI.bed.gz	ENCODE4 v1.6.1 GRCh38	released	control low read depth, low read length, inconsistent platforms		
ENCFF610PCN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AQC	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										RBBP5-human	DNA						2012-03-06	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF451YMU/, /files/ENCFF381IYY/, /files/ENCFF984XUN/, /files/ENCFF853FRF/, /files/ENCFF623AJW/, /files/ENCFF064ADI/	395806	ENCODE Processing Pipeline	4a52900ba3e9a48ab0a2947076b9efd4		https://www.encodeproject.org/files/ENCFF610PCN/@@download/ENCFF610PCN.bed.gz				released	s3://encode-public/2021/03/20/2a3b9db5-be0d-4ae7-b22f-6961a4733d3d/ENCFF610PCN.bed.gz	ENCODE4 v1.7.1 GRCh38	released	low read depth, moderate library complexity, borderline replicate concordance, low read length, inconsistent platforms, mild to moderate bottlenecking		
ENCFF292CFA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BPA	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										POLR2AphosphoS5-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF244ZKI/, /files/ENCFF539BTX/, /files/ENCFF064TLQ/, /files/ENCFF356LFX/, /files/ENCFF153UAD/, /files/ENCFF496BQY/	619448	ENCODE Processing Pipeline	40ff0c546cfc663348f74789a27b0f73		https://www.encodeproject.org/files/ENCFF292CFA/@@download/ENCFF292CFA.bed.gz				released	s3://encode-public/2020/12/12/cc34e047-90db-47e5-b355-9c903428a3d2/ENCFF292CFA.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth		
