2022-06-15 19:31:13.066899	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&assay_title=TF+ChIP-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=cell+line&files.file_type=bed+narrowPeak&assembly=GRCh38&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR935GZV/	ENCSR935GZV	ChIP-seq	TF ChIP-seq	/targets/NFYB-human/	NFYB	NFYB	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens NFYB	HepG2	GEO:GSE170694	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF062IKU/,/files/ENCFF791UHQ/,/files/ENCFF684MKW/,/files/ENCFF982HDG/,/files/ENCFF221CTU/,/files/ENCFF257CCO/,/files/ENCFF174VYX/,/files/ENCFF258XVC/,/files/ENCFF918JEG/,/files/ENCFF938DNJ/,/files/ENCFF190RON/,/files/ENCFF367KQD/,/files/ENCFF596SUK/,/files/ENCFF086IWX/,/files/ENCFF879CAL/,/files/ENCFF016JBH/,/files/ENCFF282QNY/,/files/ENCFF250THA/,/files/ENCFF860AWC/,/files/ENCFF916IJZ/,/files/ENCFF692MLQ/,/files/ENCFF032EGK/,/files/ENCFF456AHM/,/files/ENCFF707THQ/		ENCBS471LWZ,ENCBS948CVC	2,1	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/93af5db9-f614-41cc-b8fd-d9c62ea35cc7/,/replicates/a88d8a66-7f66-4ee4-b3a2-f1c150735d73/				
/experiments/ENCSR915APT/	ENCSR915APT	ChIP-seq	TF ChIP-seq	/targets/ZCCHC11-human/	ZCCHC11	TUT4	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens TUT4	HepG2	GEO:GSE170601	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF779WVZ/,/files/ENCFF693WHA/,/files/ENCFF509GDQ/,/files/ENCFF264RAF/,/files/ENCFF884FWR/,/files/ENCFF354XMT/,/files/ENCFF531GMF/,/files/ENCFF081NYD/,/files/ENCFF831ECP/,/files/ENCFF965TJO/,/files/ENCFF841DYQ/,/files/ENCFF481IUE/,/files/ENCFF623GUC/,/files/ENCFF179PHD/,/files/ENCFF642WXV/,/files/ENCFF096LFN/,/files/ENCFF834HDX/,/files/ENCFF689NDK/,/files/ENCFF953MYO/,/files/ENCFF573PWW/,/files/ENCFF256JYQ/,/files/ENCFF160WNN/,/files/ENCFF748PEB/,/files/ENCFF113BNZ/		ENCBS159SFC,ENCBS491PEV	2,1	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/9dcde9a1-ea28-402b-b054-5feffe8fffa5/,/replicates/ac3b222f-88a9-46cc-a6bf-e877a037fe72/				
/experiments/ENCSR956OSX/	ENCSR956OSX	ChIP-seq	TF ChIP-seq	/targets/ONECUT1-human/	ONECUT1	ONECUT1	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ONECUT1	HepG2	GEO:GSE170781	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF218KXL/,/files/ENCFF843QCN/,/files/ENCFF541MWJ/,/files/ENCFF124TNR/,/files/ENCFF900MAN/,/files/ENCFF919ZSN/,/files/ENCFF065EHR/,/files/ENCFF533MQW/,/files/ENCFF480JGI/,/files/ENCFF475BPZ/,/files/ENCFF338CHT/,/files/ENCFF866JCN/,/files/ENCFF799VNF/,/files/ENCFF506OYR/,/files/ENCFF756PHT/,/files/ENCFF520KAX/,/files/ENCFF034XCJ/,/files/ENCFF534EEY/,/files/ENCFF623SDS/,/files/ENCFF399QKA/,/files/ENCFF300KMX/,/files/ENCFF243FIR/,/files/ENCFF151KEG/,/files/ENCFF759WME/		ENCBS005EKG,ENCBS988CVN	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/9500e95f-e4ff-42ca-bab8-4216f067fced/,/replicates/6d757fdc-cec1-4f36-ae62-1313811f7dff/				
/experiments/ENCSR000FCB/	ENCSR000FCB	ChIP-seq	TF ChIP-seq	/targets/MITF-human/	MITF	MITF	Homo sapiens K562	K562	FactorBook:ENCSR000FCB,GEO:GSE95874	MITF ChIP-seq on human K562	Richard Myers, HAIB	ENCODE	released	/files/ENCFF001RUH/,/files/ENCFF001RUI/,/files/ENCFF427TQP/,/files/ENCFF691MGC/,/files/ENCFF463AYG/,/files/ENCFF735PTW/,/files/ENCFF677BBS/,/files/ENCFF983RUX/,/files/ENCFF437KWO/,/files/ENCFF781GHU/,/files/ENCFF455FBB/,/files/ENCFF492JGM/,/files/ENCFF527LDL/,/files/ENCFF442BPG/,/files/ENCFF823BLX/,/files/ENCFF090LNP/,/files/ENCFF692UXG/,/files/ENCFF933RQE/,/files/ENCFF775JQN/,/files/ENCFF761BJK/,/files/ENCFF830UEH/,/files/ENCFF071NYD/,/files/ENCFF347CNP/,/files/ENCFF193HSB/,/files/ENCFF502SWV/,/files/ENCFF012IGR/,/files/ENCFF077BCA/,/files/ENCFF527GGD/,/files/ENCFF304WLL/,/files/ENCFF616LVN/,/files/ENCFF582FUR/,/files/ENCFF175RNO/,/files/ENCFF112FJR/,/files/ENCFF472YHR/,/files/ENCFF050UWJ/,/files/ENCFF224CHN/,/files/ENCFF373SQY/,/files/ENCFF195WNG/,/files/ENCFF096AYG/,/files/ENCFF954ZEK/,/files/ENCFF522LWR/,/files/ENCFF272SYB/,/files/ENCFF777NJB/,/files/ENCFF243ETR/,/files/ENCFF700MSI/,/files/ENCFF139OZZ/,/files/ENCFF581QNN/,/files/ENCFF668BHW/,/files/ENCFF898UHS/,/files/ENCFF886YBI/,/files/ENCFF115SBT/,/files/ENCFF164XLN/,/files/ENCFF021FWU/,/files/ENCFF878AKU/,/files/ENCFF293FVI/,/files/ENCFF344TTK/,/files/ENCFF501SON/,/files/ENCFF178MHF/,/files/ENCFF605XYC/,/files/ENCFF329DAR/,/files/ENCFF690GHI/,/files/ENCFF669WGB/,/files/ENCFF512RED/,/files/ENCFF928EIO/	/experiment-series/ENCSR959JFQ/	ENCBS602AAA,ENCBS601AAA	2,1	1	ENCAB000BSE	Homo sapiens	adult	53 years												/replicates/5a90215a-4a98-4d99-bd6d-c3703141f5eb/,/replicates/3f1b04a0-5a5a-4f5d-bac3-def10207bc5f/				
/experiments/ENCSR000EBG/	ENCSR000EBG	ChIP-seq	TF ChIP-seq	/targets/POLR2A-human/	POLR2A	POLR2A	Homo sapiens GM19099	GM19099	UCSC-ENCODE-hg19:wgEncodeEH000741,GEO:GSM935323	POLR2A ChIP-seq on human GM19099	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF000WOW/,/files/ENCFF000WOX/,/files/ENCFF000WOY/,/files/ENCFF000WOZ/,/files/ENCFF000WPB/,/files/ENCFF000WPC/,/files/ENCFF000WPD/,/files/ENCFF000WPL/,/files/ENCFF001VGK/,/files/ENCFF002CQM/,/files/ENCFF218KLA/,/files/ENCFF989YYN/,/files/ENCFF603MZX/,/files/ENCFF528CJB/,/files/ENCFF688QHM/,/files/ENCFF407DKF/,/files/ENCFF110UOW/,/files/ENCFF191JUY/,/files/ENCFF785QUL/,/files/ENCFF586PTF/,/files/ENCFF518TKN/,/files/ENCFF704MEF/,/files/ENCFF452OZP/,/files/ENCFF510XKN/,/files/ENCFF740QNC/,/files/ENCFF522XSA/,/files/ENCFF848LYT/,/files/ENCFF065KQB/,/files/ENCFF057YEO/,/files/ENCFF934MIS/,/files/ENCFF726IBN/,/files/ENCFF550BAU/,/files/ENCFF685VYA/,/files/ENCFF244EAG/,/files/ENCFF957ALC/,/files/ENCFF711UKN/,/files/ENCFF585SNG/,/files/ENCFF658XFZ/,/files/ENCFF634TRK/,/files/ENCFF223HIM/,/files/ENCFF460PPK/,/files/ENCFF009BLX/,/files/ENCFF872OHZ/,/files/ENCFF890BST/,/files/ENCFF260LLJ/,/files/ENCFF254ZNT/		ENCBS506ENC	1,2,3	1	ENCAB000AOC	Homo sapiens	unknown													/replicates/8abf6285-2e22-4177-904f-24709fb75ea6/,/replicates/3fd3377c-b40b-4755-a22b-3d66986890f7/,/replicates/248778fc-7295-4f58-9ab8-413036a24ecc/				
/experiments/ENCSR084RDK/	ENCSR084RDK	ChIP-seq	TF ChIP-seq	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens DOHH2	DOHH2	FactorBook:ENCSR084RDK,SCREEN-GRCh38:DOHH2,GEO:GSE101017		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF323BMQ/,/files/ENCFF026HEV/,/files/ENCFF002AUH/,/files/ENCFF002AWX/,/files/ENCFF555IHR/,/files/ENCFF596CVC/,/files/ENCFF660VBK/,/files/ENCFF806BAK/,/files/ENCFF092CZO/,/files/ENCFF863PSQ/,/files/ENCFF195WBJ/,/files/ENCFF272KEC/,/files/ENCFF506HPS/,/files/ENCFF884IIL/,/files/ENCFF488ISB/,/files/ENCFF691NIP/,/files/ENCFF016SCI/,/files/ENCFF991BYK/,/files/ENCFF019JIE/,/files/ENCFF685JJH/,/files/ENCFF290WAL/,/files/ENCFF293GXD/,/files/ENCFF837RIT/,/files/ENCFF603BFC/,/files/ENCFF054WJA/,/files/ENCFF810VLJ/,/files/ENCFF444JLL/,/files/ENCFF740UKH/,/files/ENCFF567ZCZ/,/files/ENCFF071DNB/,/files/ENCFF102KXV/,/files/ENCFF164RIU/,/files/ENCFF640QGP/,/files/ENCFF236WSB/,/files/ENCFF626JFA/,/files/ENCFF199OWG/,/files/ENCFF121ZFP/,/files/ENCFF879YLC/,/files/ENCFF684OGR/,/files/ENCFF287ALH/,/files/ENCFF459CAS/,/files/ENCFF268CZL/,/files/ENCFF824YYD/,/files/ENCFF202LTW/,/files/ENCFF679WDM/,/files/ENCFF933AVW/,/files/ENCFF628PUL/,/files/ENCFF421PBO/,/files/ENCFF690TTU/,/files/ENCFF453BLT/,/files/ENCFF089FWY/,/files/ENCFF766DBY/,/files/ENCFF697LYT/,/files/ENCFF751TKL/,/files/ENCFF816LFS/,/files/ENCFF770RRP/,/files/ENCFF603PSB/,/files/ENCFF692PAU/,/files/ENCFF087WWA/,/files/ENCFF637WNW/	/reference-epigenomes/ENCSR768ZWR/	ENCBS662OGM,ENCBS100ZVH	1,2	1	ENCAB000AXX	Homo sapiens	adult	60 years												/replicates/29d71225-c43d-490a-a961-f346791e0d6b/,/replicates/3db66a39-de3d-43ce-a7bd-ab072269ab8b/				
/experiments/ENCSR626VUC/	ENCSR626VUC	ChIP-seq	TF ChIP-seq	/targets/ETV6-human/	ETV6	ETV6	Homo sapiens GM12878	GM12878	FactorBook:ENCSR626VUC,GEO:GSE96274	ETV6 ChIP-seq on human GM12878	Richard Myers, HAIB	ENCODE	released	/files/ENCFF002BFK/,/files/ENCFF002BFL/,/files/ENCFF237YJY/,/files/ENCFF056UMQ/,/files/ENCFF006ANA/,/files/ENCFF869EQD/,/files/ENCFF305DNA/,/files/ENCFF193TXF/,/files/ENCFF760IFZ/,/files/ENCFF283QCO/,/files/ENCFF021LAP/,/files/ENCFF742XOI/,/files/ENCFF931JYI/,/files/ENCFF344FAD/,/files/ENCFF862YUS/,/files/ENCFF599YMQ/,/files/ENCFF887NEW/,/files/ENCFF150UOG/,/files/ENCFF209SJM/,/files/ENCFF901ETI/,/files/ENCFF762OJJ/,/files/ENCFF496IEH/,/files/ENCFF761BJR/,/files/ENCFF894KAJ/,/files/ENCFF162BDU/,/files/ENCFF319PMQ/,/files/ENCFF400ILK/,/files/ENCFF486PYA/,/files/ENCFF777XYO/,/files/ENCFF434RBQ/,/files/ENCFF225HQM/,/files/ENCFF881CKS/,/files/ENCFF764IXV/,/files/ENCFF496BNB/,/files/ENCFF472MGT/,/files/ENCFF383ODW/,/files/ENCFF499PMB/,/files/ENCFF193MGP/,/files/ENCFF461SOE/,/files/ENCFF662NZE/,/files/ENCFF394JES/,/files/ENCFF304SIN/,/files/ENCFF142JGU/,/files/ENCFF012WTF/,/files/ENCFF461IYM/,/files/ENCFF916QGP/,/files/ENCFF018BOV/,/files/ENCFF269LTR/,/files/ENCFF673FMT/,/files/ENCFF592LKK/,/files/ENCFF745ANU/,/files/ENCFF482BSZ/,/files/ENCFF891RJI/,/files/ENCFF972SOG/,/files/ENCFF746DYZ/,/files/ENCFF692GBM/,/files/ENCFF151UJT/,/files/ENCFF105ZMI/,/files/ENCFF203NIA/,/files/ENCFF861IEU/,/files/ENCFF970UVH/,/files/ENCFF547ARQ/,/files/ENCFF974ACI/,/files/ENCFF729UXS/,/files/ENCFF450DGR/,/files/ENCFF577AXN/,/files/ENCFF149XDW/,/files/ENCFF519DCT/,/files/ENCFF666ZCU/,/files/ENCFF788CJA/,/files/ENCFF894HHJ/,/files/ENCFF981OLQ/,/files/ENCFF414ZPM/,/files/ENCFF228LEU/,/files/ENCFF655IXH/,/files/ENCFF553XZW/,/files/ENCFF076YDO/,/files/ENCFF881JKP/	/experiment-series/ENCSR386QXQ/	ENCBS460NBS,ENCBS083XJQ	1,2	1	ENCAB000ABD	Homo sapiens	adult													/replicates/c69a29de-6a47-44b4-8796-e7a716be2b7c/,/replicates/1bd1dcbf-0377-4928-8b1e-5b03e7700a37/				
/experiments/ENCSR248BVU/	ENCSR248BVU	ChIP-seq	TF ChIP-seq	/targets/ZNF264-human/	ZNF264	ZNF264	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF264	HepG2	GEO:GSE169993	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF434CYS/,/files/ENCFF598DDV/,/files/ENCFF643DQZ/,/files/ENCFF289INU/,/files/ENCFF453WJV/,/files/ENCFF601ECV/,/files/ENCFF027ANT/,/files/ENCFF770XCH/,/files/ENCFF815IZQ/,/files/ENCFF826QKB/,/files/ENCFF596DYI/,/files/ENCFF683IVC/,/files/ENCFF006RHN/,/files/ENCFF236WGH/,/files/ENCFF417WSK/,/files/ENCFF229IQJ/,/files/ENCFF636RIH/,/files/ENCFF465BSK/,/files/ENCFF954TTY/,/files/ENCFF916IZS/,/files/ENCFF404IUH/,/files/ENCFF473JEB/,/files/ENCFF859KZK/,/files/ENCFF965CLH/		ENCBS130ALC,ENCBS943TCK	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/d9b9fe11-7f57-4d8b-ac23-c8ea494f5573/,/replicates/e8d4b86c-acfa-4bde-abdf-c346640c2fd5/				
/experiments/ENCSR949OEV/	ENCSR949OEV	ChIP-seq	TF ChIP-seq	/targets/ZFY-human/	ZFY	ZFY	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZFY	HepG2	GEO:GSE170748	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF510SDJ/,/files/ENCFF986ZEO/,/files/ENCFF153RPE/,/files/ENCFF878NQT/,/files/ENCFF580GQF/,/files/ENCFF010YKM/,/files/ENCFF871LGC/,/files/ENCFF326MNN/,/files/ENCFF832MJA/,/files/ENCFF106ELT/,/files/ENCFF385HWJ/,/files/ENCFF393TOA/,/files/ENCFF473EDY/,/files/ENCFF097FWB/,/files/ENCFF871GAC/,/files/ENCFF387GVK/,/files/ENCFF805EKY/,/files/ENCFF515DRY/,/files/ENCFF968XPF/,/files/ENCFF405JZR/,/files/ENCFF479GOC/,/files/ENCFF829RLG/,/files/ENCFF817EXH/,/files/ENCFF291LHW/		ENCBS389IZS,ENCBS432POV	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/98ce6e43-85c1-40d8-91e3-f173d31f5220/,/replicates/e3ed54ee-308e-4c01-b5b2-e576928fb494/				
/experiments/ENCSR819ATC/	ENCSR819ATC	ChIP-seq	TF ChIP-seq	/targets/MYB-human/	MYB	MYB	Homo sapiens GM12878	GM12878	GEO:GSE92077	MYB ChIP-seq on human GM12878	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF870DTP/,/files/ENCFF500UBO/,/files/ENCFF064VGD/,/files/ENCFF696VJM/,/files/ENCFF684XYC/,/files/ENCFF319JBZ/,/files/ENCFF642XXB/,/files/ENCFF137UDJ/,/files/ENCFF299VKC/,/files/ENCFF348FWJ/,/files/ENCFF215YWS/,/files/ENCFF335LXU/,/files/ENCFF002EBS/,/files/ENCFF002ECX/,/files/ENCFF249XQG/,/files/ENCFF821WKC/,/files/ENCFF575BDK/,/files/ENCFF590FPG/,/files/ENCFF683TWU/,/files/ENCFF695WAT/,/files/ENCFF784YSY/,/files/ENCFF154ART/,/files/ENCFF285WIV/,/files/ENCFF431SLO/,/files/ENCFF214BKN/,/files/ENCFF955TWQ/,/files/ENCFF175IVP/,/files/ENCFF210EWK/,/files/ENCFF295HEG/,/files/ENCFF136YJS/,/files/ENCFF809AHN/,/files/ENCFF110LOM/,/files/ENCFF695NGH/,/files/ENCFF980YFO/,/files/ENCFF117JYI/,/files/ENCFF541UDJ/,/files/ENCFF002HBZ/,/files/ENCFF779ODE/,/files/ENCFF439XLJ/,/files/ENCFF806LSD/,/files/ENCFF500JAL/,/files/ENCFF879ILK/,/files/ENCFF254XZF/,/files/ENCFF045RMS/,/files/ENCFF761HOM/,/files/ENCFF402TSJ/,/files/ENCFF502DTZ/,/files/ENCFF218JDE/,/files/ENCFF173YZN/,/files/ENCFF103IOJ/,/files/ENCFF157SEX/,/files/ENCFF890XSD/,/files/ENCFF870DIP/,/files/ENCFF969KVU/,/files/ENCFF240WEC/,/files/ENCFF708UJN/,/files/ENCFF648JIW/,/files/ENCFF503BIE/,/files/ENCFF574EDY/,/files/ENCFF354POD/,/files/ENCFF904SON/,/files/ENCFF599HIB/,/files/ENCFF352SUF/,/files/ENCFF542LZH/,/files/ENCFF636POG/,/files/ENCFF812AYJ/,/files/ENCFF746KZG/,/files/ENCFF208DZU/,/files/ENCFF069TVI/,/files/ENCFF658RVA/,/files/ENCFF373VCD/,/files/ENCFF037QEI/,/files/ENCFF193DNT/,/files/ENCFF705CGM/		ENCBS595CWJ,ENCBS831YAX	1,3	1	ENCAB000AES	Homo sapiens	adult													/replicates/a2fc48ac-b7de-4c30-b5f4-4efae45e4a08/,/replicates/f38e2296-f2a6-433c-892a-47f449e00b0c/				
